model_name,popularity,best_price,highest_price,screen_size,memory_size,battery_size,release_date
G920F Galaxy S6 32GB (White Pearl),845,3529.0,3959.0,5.1,32.0,2550.0,3650
Galaxy A01 2/16GB Black (SM-A015FZKD),1163,2940.0,3158.0,5.7,16.0,3000.0,1883
Galaxy A01 Core 1/16GB Black (SM-A013FZKD),1073,2344.0,2553.0,5.3,16.0,3000.0,1670
Galaxy A02s 3/32GB Blue (SM-A025FZBE),1078,3776.0,3799.0,6.5,32.0,5000.0,1517
Galaxy A10s 2019 SM-A107F 2/32GB Black (SM-A107FZKD),1129,3348.0,3999.0,6.2,32.0,4000.0,2036
Galaxy A11 2/32GB Black (SM-A115FZKN),1036,4101.0,4396.0,6.4,32.0,4000.0,1731
Galaxy A12 SM-A125F 3/32GB Black (SM-A125FZKUSEK),1008,4473.0,4999.0,6.5,32.0,5000.0,1517
Galaxy A12 SM-A125F 4/64GB Black (SM-A125FZKVSEK),1092,4977.0,5499.0,6.5,64.0,5000.0,1517
Galaxy A2 Core 2019 SM-A260 1/16GB Blue,100,3222.0,3515.0,5.0,16.0,2600.0,1944
Galaxy A2 Core 2019 SM-A260 1/16GB Blue,91,3222.0,3515.0,5.0,16.0,2600.0,1944
Galaxy A20e SM-A202F 3/32GB Black SM-A202FZKD,1040,4595.0,5095.0,5.8,32.0,3000.0,2067
Galaxy A20e SM-A202F 3/32GB White (SM-A202FZWD),54,4300.0,4500.0,5.8,32.0,3000.0,1914
Galaxy A20s 2019 A207F 3/32GB Black (SM-A207FZKD),1017,4126.0,4399.0,6.5,32.0,4000.0,1975
Galaxy A21s 3/32GB Black (SM-A217FZKN),1059,5174.0,6470.0,6.5,32.0,5000.0,1731
Galaxy A30s 3/32GB Black (SM-A307FZKU),1072,4524.0,4789.0,6.4,32.0,4000.0,2005
Galaxy A30s 4/64GB Green (SM-A307FZGV),778,6098.0,6399.0,6.4,64.0,4000.0,2005
Galaxy A31 4/128GB Black (SM-A315FZKV),1115,6510.0,7499.0,6.4,128.0,5000.0,1792
Galaxy A31 4/64GB Black (SM-A315FZKU),1185,5997.0,6999.0,6.4,64.0,5000.0,1792
Galaxy A41 4/64GB Black (SM-A415FZKD),1173,6693.0,9547.0,6.1,64.0,3500.0,1762
Galaxy A50 2019 SM-A505F 4/128GB Black,736,6687.0,7154.0,6.4,128.0,4000.0,2158
Galaxy A50 2019 SM-A505F 4/64GB Blue (SM-A505FZBU),874,5527.0,5555.0,6.4,64.0,4000.0,2189
Galaxy A50 2019 SM-A505F 6/128GB Blue (SM-A505FZBQ),712,6933.0,7868.0,6.4,128.0,4000.0,2189
Galaxy A50s 2019 SM-A507FD 6/128GB Black,168,8243.0,8518.0,6.4,128.0,4000.0,1944
Galaxy A50s 2019 SM-A507FD 6/128GB Black,118,8243.0,8518.0,6.4,128.0,4000.0,1944
Galaxy A50s 2019 SM-A507FD 6/128GB Black,127,8243.0,8518.0,6.4,128.0,4000.0,1944
Galaxy A50s SM-A5070 6/128GB Prism Crush Green,70,7159.0,7979.0,6.4,128.0,4000.0,1823
Galaxy A51 2020 4/64GB Black (SM-A515FZKU),1192,7139.0,7999.0,6.5,64.0,4000.0,1883
Galaxy A51 2020 6/128GB Blue (SM-A515FZBW),1177,8076.0,8999.0,6.5,128.0,4000.0,1883
Galaxy A51 SM-A515F 2020 8/128GB Blue,783,8538.0,9067.0,6.5,128.0,4000.0,1701
Galaxy A51 SM-A515F 4/128GB Black,970,7135.0,7600.0,6.5,128.0,4000.0,1823
Galaxy A51 SM-A515F 6/128GB Metallic Silver (SM-A515FMSW),1039,8152.0,8999.0,6.5,128.0,4000.0,1701
Galaxy A6+ 3/32GB Gold (SM-A605FZDN),205,7064.0,7129.0,6.0,32.0,3500.0,2493
Galaxy A6+ 3/32GB Lavender,484,5292.0,5330.0,6.0,32.0,3500.0,2493
Galaxy A6+ 4/32GB Gold,346,7071.0,7129.0,6.0,32.0,3500.0,2462
Galaxy A7 2018 4/64GB Blue (SM-A750FZBU),689,5893.0,6283.0,6.0,64.0,3300.0,2340
Galaxy A70 2019 SM-A7050 6/128GB Black,339,8816.0,10175.0,6.7,128.0,4500.0,2128
Galaxy A70 2019 SM-A7050 6/128GB Blue,173,8965.0,9499.0,6.7,128.0,4500.0,2036
Galaxy A70 2019 SM-A7050 6/128GB Blue,209,8965.0,9499.0,6.7,128.0,4500.0,2036
Galaxy A70 2019 SM-A7050 6/128GB Blue,222,8965.0,9499.0,6.7,128.0,4500.0,2036
Galaxy A70 2019 SM-A705F 6/128GB Black (SM-A705FZKU),611,8986.0,9399.0,6.7,128.0,4500.0,2158
Galaxy A71 2020 6/128GB Black (SM-A715FZKU),1209,10403.0,14538.0,6.7,128.0,4500.0,1883
Galaxy A71 2020 SM-A715F 8/128GB Blue,957,10848.0,11999.0,6.7,128.0,4500.0,1762
Galaxy A8+ 2018 32GB Gold (SM-A730FZDD),44,7309.0,8928.0,6.0,32.0,3500.0,2613
Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),93,7253.0,8499.0,6.0,32.0,3500.0,2613
Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),102,7253.0,8499.0,6.0,32.0,3500.0,2613
Galaxy A80 2019 A8050 8/128GB Black,310,13296.0,13709.0,6.7,128.0,3700.0,2036
Galaxy A9 2018 6/128Gb Blue (SM-A920FZBD),472,8610.0,9199.0,6.3,128.0,3800.0,2309
